"""protein""","""pathwayCount"""
"""Q9Y4A9""",5
"""Q8IXW5""",3
"""P78524""",4
"""P59796""",3
"""Q53T94""",13
"""P78410""",3
"""Q8NGR2""",5
"""P11586""",4
"""O60291""",4
"""Q8N2Z9""",21
"""Q765I0""",7
"""P15311""",5
"""O60285""",6
"""P13196""",3
"""Q8TBB1""",4
"""P57775""",10
"""Q96A35""",6
"""P13716""",6
"""Q96G91""",9
"""P60520""",6
"""Q5H8A4""",4
"""Q9BVG9""",5
"""P43220""",11
"""P81274""",4
"""Q6UWE0""",4
"""P62244""",23
"""Q6UX04""",4
"""Q9P267""",4
"""P15976""",8
"""O00206""",23
"""Q8WY64""",8
"""Q9H2M3""",3
"""P15289""",11
"""Q96DE0""",5
"""Q99102""",9
"""P37840""",2
"""P23284""",3
"""Q96N87""",6
"""P19784""",36
"""Q14004""",8
"""O95178""",5
"""Q96F86""",3
"""O00716""",16
"""Q9UJ71""",5
"""Q9UIV1""",9
"""Q6ZN57""",3
"""P35579""",14
"""Q05655""",40
"""Q16270""",4
"""P52744""",3
"""P28715""",7
"""Q9UKT7""",11
"""Q9Y3Y2""",9
"""Q9H0D6""",4
"""Q9H2C8""",5
"""Q70Z44""",3
"""P08134""",17
"""Q9Y2W2""",4
"""Q8WWT9""",4
"""Q99959""",3
"""Q7L2H7""",11
"""P20700""",23
"""Q8NH80""",5
"""A2NJV5""",23
"""Q8N668""",3
"""Q92643""",4
"""P10144""",4
"""P79483""",10
"""Q9NVZ3""",4
"""Q9Y2X7""",4
"""Q9BVK2""",4
"""Q92466""",11
"""Q9BVJ6""",4
"""P01019""",11
"""O14986""",13
"""Q92538""",17
"""Q96HC4""",3
"""Q96JB6""",4
"""P19404""",5
"""P25398""",23
"""Q5VIY5""",3
"""Q6UXZ3""",3
"""Q9UNA1""",3
"""Q9GZX3""",5
"""P08779""",2
"""Q9H310""",4
"""Q7Z2F6""",3
"""P07093""",5
"""Q8WXB1""",3
"""Q9H1Y0""",9
"""Q5JS37""",3
"""Q9H492""",5
"""Q9UEU0""",4
"""Q14031""",5
"""Q13467""",12
"""Q12789""",6
"""Q96HD9""",3
"""Q15743""",6
"""P56282""",36
"""Q32MQ0""",3
"""P61962""",6
"""P19883""",4
"""Q96GX9""",5
"""Q96GC5""",6
"""P19113""",4
"""Q15077""",8
"""Q96A29""",10
"""Q05682""",2
"""Q9UKW4""",30
"""Q7L592""",5
"""Q9UKL4""",3
"""Q9Y5P1""",5
"""Q06432""",4
"""P09238""",4
"""Q7LBE3""",4
"""Q9H205""",5
"""Q99986""",10
"""Q07973""",8
"""Q9ULT6""",4
"""Q9Y4X5""",5
"""Q9H195""",9
"""Q96KK4""",5
"""Q9P0L0""",7
"""P20061""",7
"""P55317""",4
"""P49427""",8
"""Q8WXI8""",5
"""Q5BIV9""",3
"""Q9NVR0""",7
"""Q9UJV9""",6
"""Q9Y2P4""",4
"""Q9Y314""",4
"""O14497""",8
"""Q8NCL4""",4
"""Q5TAH2""",3
"""Q16186""",5
"""O15247""",6
"""P01733""",10
"""P49792""",69
"""P02452""",7
"""P0C7T2""",5
"""Q9BWJ5""",5
"""Q86YN1""",6
"""Q8NH53""",5
"""P10747""",21
"""Q96BP2""",6
"""Q8NGI3""",5
"""P04062""",8
"""P50750""",33
"""Q96AY2""",8
"""Q8IYD1""",7
"""P98174""",10
"""P28331""",5
"""P01597""",23
"""O95970""",2
"""Q96QD9""",9
"""Q9UHA7""",5
"""Q9UGK3""",4
"""Q8TDB8""",3
"""P18462""",7
"""Q6ZUV0""",4
"""Q99575""",3
"""Q9BUF5""",9
"""Q99569""",3
"""Q9HAV5""",4
"""Q9HB75""",6
"""P43235""",15
"""Q16696""",8
"""P18507""",5
"""Q9Y6E0""",4
"""P09972""",8
"""Q9UDV6""",3
"""O95865""",4
"""Q9Y5V3""",9
"""Q9Y673""",6
"""Q96T54""",7
"""Q86VD9""",4
"""P56750""",4
"""Q8WWH4""",3
"""Q15545""",19
"""P62826""",24
"""Q14019""",3
"""Q8IVP9""",3
"""Q6ZMV8""",3
"""O15466""",6
"""Q6PL18""",5
"""Q8NEM7""",3
"""Q8IUN9""",4
"""O15160""",20
"""P30044""",8
"""Q9NPH2""",3
"""Q9Y5Y9""",7
"""P00395""",9
"""Q9NS28""",5
"""P02671""",34
"""Q9NRF8""",3
"""Q8N3Y3""",3
"""P21695""",5
"""O60675""",2
"""Q9NQZ8""",3
"""P10966""",10
"""Q9BY64""",4
"""Q16774""",5
"""Q8TF61""",7
"""Q92637""",5
"""Q9NWR8""",3
"""P04275""",26
"""Q86T03""",12
"""P22304""",7
"""Q92523""",7
"""P07910""",9
"""O15169""",11
"""Q96JA1""",5
"""P05019""",12
"""P01706""",23
"""P16930""",4
"""Q86Y13""",4
"""Q86XP3""",5
"""Q86XE3""",3
"""Q96HF1""",4
"""O43759""",3
"""Q9C086""",8
"""Q96I15""",4
"""Q99788""",4
"""Q12774""",10
"""Q7Z3B3""",3
"""Q0JRZ9""",4
"""P17014""",3
"""Q6ZWL3""",11
"""Q5VZK9""",2
"""Q9HCM4""",3
"""Q8TBJ4""",5
"""Q9HBW0""",8
"""Q16613""",4
"""P07919""",4
"""P41229""",3
"""Q8IY17""",5
"""Q969G3""",8
"""Q9HBA0""",4
"""Q9UNM6""",9
"""Q8IZD9""",2
"""Q05193""",22
"""P19388""",79
"""Q02108""",3
"""P09529""",8
"""O00305""",11
"""Q8NFU0""",3
"""P29965""",6
"""O75528""",7
"""Q15572""",13
"""Q96NL6""",3
"""Q14894""",4
"""Q13347""",11
"""Q9H2K2""",16
"""Q14103""",6
"""Q16322""",3
"""Q15758""",4
"""Q8N1E6""",7
"""Q96N66""",5
"""Q13233""",19
"""Q96MU6""",3
"""Q07343""",7
"""Q6ZVK8""",5
"""O95163""",3
"""Q96FV9""",9
"""Q9BSL1""",4
"""Q9HBA9""",3
"""P09919""",4
"""Q7Z7M8""",4
"""Q9Y4C1""",3
"""Q7Z7B8""",5
"""Q8NET5""",3
"""Q53GQ0""",8
"""P27449""",12
"""Q9Y6L7""",7
"""Q9H0M5""",3
"""Q9NQG5""",3
"""P00488""",6
"""P49448""",6
"""O43307""",15
"""P22352""",3
"""Q9H211""",14
"""Q16873""",12
"""Q96F24""",4
"""P10072""",3
"""Q9NY37""",3
"""Q92736""",6
"""Q9NXR7""",16
"""O76082""",9
"""P30512""",7
"""Q6ZQW0""",4
"""P14867""",5
"""P30038""",5
"""Q9NQ36""",4
"""Q75N90""",2
"""P51812""",49
"""Q9UID3""",4
"""O60508""",11
"""P26232""",3
"""Q9UHX3""",4
"""Q9Y2Q0""",6
"""Q06141""",3
"""Q9BVS5""",3
"""P14138""",7
"""Q12873""",25
"""Q13077""",5
"""Q02156""",17
"""Q8TEQ8""",4
"""P11487""",44
"""P08572""",16
"""P39060""",10
"""P63000""",77
"""Q6JQN1""",4
"""O00212""",5
"""Q9Y2G5""",4
"""Q9Y2Q9""",6
"""Q7Z2D5""",5
"""P47901""",8
"""Q96PM9""",16
"""O95190""",4
"""Q9H4L5""",5
"""Q08426""",7
"""Q14993""",4
"""Q8WZ42""",6
"""O95376""",4
"""Q86WV6""",8
"""Q15722""",8
"""Q6ZNC4""",3
"""P22061""",2
"""Q8IVF5""",10
"""P37231""",11
"""P68400""",36
"""Q15056""",9
"""Q8IWW6""",3
"""P43115""",8
"""Q8NHA8""",5
"""O14581""",5
"""Q16576""",36
"""Q9NS40""",3
"""Q9Y694""",5
"""Q9Y5X4""",4
"""Q8NGJ8""",5
"""Q8NE62""",3
"""P28907""",4
"""Q9NRR4""",3
"""P20160""",3
"""P01130""",18
"""Q9Y574""",7
"""P49406""",6
"""Q92835""",19
"""Q5NV75""",20
"""P0DMN0""",4
"""Q9BSI4""",4
"""Q8NDV7""",27
"""Q8IU89""",4
"""P22310""",6
"""Q9NZ09""",12
"""Q9BS34""",3
"""Q6E213""",12
"""Q9UBY5""",8
"""O75144""",3
"""P02545""",21
"""A2RRD8""",3
"""Q86YW0""",3
"""P30626""",14
"""Q6IB77""",7
"""Q01484""",12
"""P16435""",4
"""P18846""",29
"""P36871""",9
"""P41235""",4
"""A0FGR8""",4
"""Q9UNW1""",3
"""P17181""",5
"""P45844""",6
"""Q99653""",5
"""Q96LA8""",8
"""Q8IYX0""",3
"""O00425""",2
"""Q2YD98""",6
"""O00311""",11
"""Q12805""",3
"""Q7Z3Y8""",2
"""P54750""",18
"""Q9UHJ6""",3
"""P54198""",5
"""P16144""",9
"""O75695""",4
"""Q8WU68""",11
"""Q15935""",3
"""Q14409""",4
"""P0DJD8""",2
"""Q8IX03""",2
"""Q969S8""",14
"""P62910""",19
"""Q15269""",4
"""Q9HAU0""",5
"""Q8NGC1""",5
"""P19961""",3
"""P26715""",3
"""Q9UN76""",6
"""Q7L0Q8""",3
"""Q8NFW1""",4
"""Q8NG81""",5
"""Q8IW93""",10
"""O15550""",3
"""Q8IYB9""",3
"""Q8NG75""",5
"""P63098""",25
"""Q7Z7A3""",3
"""Q9Y6X3""",5
"""Q9H9T3""",3
"""Q14919""",5
"""Q3SY84""",2
"""O60894""",7
"""O95298""",8
"""Q9NSE2""",6
"""Q14118""",10
"""P49619""",7
"""Q5U5Z8""",3
"""O43474""",2
"""Q8IVN8""",4
"""Q92913""",3
"""Q6PHW0""",4
"""P30793""",4
"""Q66K46""",8
"""O15439""",6
"""Q9NRZ7""",10
"""P00374""",6
"""O94933""",3
"""Q9UJK0""",4
"""Q9H1E1""",3
"""Q6UWN8""",3
"""P35372""",9
"""Q9BY43""",9
"""Q02447""",5
"""Q8WVK2""",4
"""Q9UBU3""",10
"""A5D6W6""",3
"""P55011""",4
"""Q66GS9""",16
"""P07202""",4
"""P42167""",10
"""Q12904""",8
"""Q9UJA5""",3
"""Q13572""",6
"""Q96PY5""",4
"""Q9H7X7""",3
"""P07384""",11
"""P32298""",7
"""Q9UIJ5""",2
"""Q96RB7""",5
"""P52738""",3
"""Q9Y496""",16
"""Q9UBK8""",9
"""P56381""",7
"""Q99767""",3
"""Q15842""",4
"""P42677""",39
"""P18627""",3
"""P31948""",3
"""Q96CN9""",4
"""O00233""",6
"""Q9HD67""",7
"""Q7L014""",4
"""O14893""",3
"""P08758""",4
"""P19367""",4
"""O95256""",5
"""P48167""",3
"""Q7L5Y6""",4
"""Q14186""",39
"""O96006""",5
"""Q8NH89""",5
"""Q92820""",3
"""Q8TAM2""",4
"""Q01973""",5
"""Q8NGL9""",5
"""O14788""",5
"""Q9NRG4""",9
"""P30101""",9
"""O60706""",9
"""P32320""",7
"""Q8NFH8""",4
"""Q9NQP4""",5
"""Q9P1W8""",4
"""Q8N695""",9
"""P20226""",42
"""Q9Y5Y0""",2
"""P02743""",2
"""Q9BTA9""",4
"""Q96T60""",4
"""P23497""",5
"""P11908""",4
"""Q9BYF1""",3
"""P41220""",4
"""Q96EY7""",6
"""P43631""",5
"""P08962""",7
"""Q96E93""",3
"""Q8IUZ5""",7
"""P27986""",102
"""P61296""",4
"""O00602""",8
"""P06737""",7
"""Q9UKV8""",24
"""Q13671""",4
"""O75030""",5
"""Q9H0F7""",4
"""Q9H013""",2
"""P09681""",11
"""O94906""",5
"""Q8WUM4""",6
"""Q9BPV8""",8
"""Q13530""",4
"""Q9HCC0""",6
"""Q8TE56""",4
"""O95460""",2
"""Q96LC9""",6
"""Q86XU0""",3
"""Q3KNW5""",3
"""P01031""",13
"""Q9UQ88""",6
"""P61009""",8
"""Q96BD6""",7
"""Q16795""",5
"""P46776""",19
"""Q7Z419""",4
"""Q6IEU7""",5
"""P12270""",56
"""O15055""",1
"""Q9NP58""",3
"""Q5XG87""",4
"""P48740""",10
"""O96033""",4
"""Q16514""",22
"""Q16706""",10
"""Q15836""",6
"""Q15149""",11
"""Q5T1R4""",5
"""P16150""",3
"""P23560""",10
"""Q9NZN3""",2
"""Q9NZC3""",5
"""Q8NGS7""",5
"""Q8NGH7""",5
"""Q9NUP9""",6
"""Q9NYW3""",6
"""O43505""",8
"""P14555""",13
"""Q9P2W7""",6
"""Q8WZ84""",5
"""Q92934""",18
"""P22736""",12
"""O75414""",3
"""Q9NZQ9""",2
"""Q01094""",31
"""Q6UB35""",4
"""Q9UKN5""",4
"""P05093""",10
"""P32970""",4
"""O60669""",4
"""Q9Y512""",2
"""P08254""",12
"""O94813""",10
"""P21554""",6
"""Q9Y6Y8""",8
"""Q9H0E2""",7
"""P35558""",6
"""Q96RA2""",5
"""Q9Y6N8""",4
"""Q9H081""",16
"""Q9H2A7""",8
"""Q96K75""",3
"""P18825""",17
"""Q14789""",11
"""Q7KZN9""",3
"""P26439""",7
"""Q9UQ52""",4
"""O00410""",6
"""Q8NCN5""",5
"""Q9UPS6""",8
"""A2NXD2""",23
"""Q9NV31""",4
"""Q14C86""",5
"""Q07889""",107
"""Q12888""",17
"""Q8NBJ4""",4
"""Q9Y3D7""",2
"""Q9Y376""",6
"""Q8N201""",3
"""Q5T447""",4
"""Q8NGL0""",5
"""O14804""",7
"""Q8NH74""",5
"""Q8NGA0""",5
"""P10768""",4
"""Q9C0B1""",3
"""Q8NGK4""",5
"""P04083""",11
"""O14965""",19
"""Q17RB8""",4
"""Q8N8N7""",5
"""A7MBM2""",4
"""P31153""",4
"""Q9P2T1""",4
"""Q92841""",5
"""Q9BZS1""",6
"""Q8IWX5""",4
"""O95436""",7
"""O96000""",5
"""Q8IWA0""",4
"""P24588""",13
"""O14782""",11
"""Q16777""",60
