Type,Sample,Size,ms,Repetition
UNIPROT,9,12000,1068.812,1
UNIPROT,9,12000,1069.167,2
UNIPROT,9,12000,1072.176,3
UNIPROT,9,12000,1111.472,4
UNIPROT,9,12000,1075.270,5
UNIPROT,9,14000,1132.614,1
UNIPROT,9,14000,1201.407,2
UNIPROT,9,14000,1130.456,3
UNIPROT,9,14000,1125.518,4
UNIPROT,9,14000,1136.660,5
UNIPROT,9,16000,1290.138,1
UNIPROT,9,16000,1193.924,2
UNIPROT,9,16000,1191.341,3
UNIPROT,9,16000,1207.516,4
UNIPROT,9,16000,1291.386,5
UNIPROT,9,18000,1256.879,1
UNIPROT,9,18000,1262.737,2
UNIPROT,9,18000,1389.908,3
UNIPROT,9,18000,1279.606,4
UNIPROT,9,18000,1262.463,5
UNIPROT,9,20000,1334.671,1
UNIPROT,9,20000,1338.679,2
UNIPROT,9,20000,1348.616,3
UNIPROT,9,20000,1410.327,4
UNIPROT,9,20000,1522.170,5
UNIPROT,10,1,680.643,1
UNIPROT,10,1,672.802,2
UNIPROT,10,1,663.552,3
UNIPROT,10,1,674.929,4
UNIPROT,10,1,742.288,5
UNIPROT,10,2000,743.347,1
UNIPROT,10,2000,732.572,2
UNIPROT,10,2000,741.026,3
UNIPROT,10,2000,741.217,4
UNIPROT,10,2000,797.444,5
UNIPROT,10,4000,807.134,1
UNIPROT,10,4000,801.470,2
UNIPROT,10,4000,813.377,3
UNIPROT,10,4000,806.076,4
UNIPROT,10,4000,860.025,5
UNIPROT,10,6000,867.159,1
UNIPROT,10,6000,882.574,2
UNIPROT,10,6000,868.408,3
UNIPROT,10,6000,881.169,4
UNIPROT,10,6000,935.347,5
UNIPROT,10,8000,938.584,1
UNIPROT,10,8000,931.032,2
UNIPROT,10,8000,945.957,3
UNIPROT,10,8000,1038.578,4
UNIPROT,10,8000,939.487,5
UNIPROT,10,10000,996.318,1
UNIPROT,10,10000,999.192,2
UNIPROT,10,10000,1068.414,3
UNIPROT,10,10000,1001.523,4
UNIPROT,10,10000,987.831,5
UNIPROT,10,12000,1120.171,1
UNIPROT,10,12000,1074.402,2
UNIPROT,10,12000,1062.663,3
UNIPROT,10,12000,1057.289,4
UNIPROT,10,12000,1053.085,5
UNIPROT,10,14000,1125.434,1
UNIPROT,10,14000,1133.675,2
UNIPROT,10,14000,1126.805,3
UNIPROT,10,14000,1187.003,4
UNIPROT,10,14000,1138.512,5
UNIPROT,10,16000,1196.365,1
UNIPROT,10,16000,1246.759,2
UNIPROT,10,16000,1203.473,3
UNIPROT,10,16000,1214.276,4
UNIPROT,10,16000,1192.054,5
UNIPROT,10,18000,1278.531,1
UNIPROT,10,18000,1264.676,2
UNIPROT,10,18000,1271.098,3
UNIPROT,10,18000,1330.595,4
UNIPROT,10,18000,1265.766,5
UNIPROT,10,20000,1321.372,1
UNIPROT,10,20000,1364.833,2
UNIPROT,10,20000,1334.382,3
UNIPROT,10,20000,1328.011,4
UNIPROT,10,20000,1331.825,5
UNIPROT,11,1,670.775,1
UNIPROT,11,1,702.067,2
UNIPROT,11,1,662.910,3
UNIPROT,11,1,666.014,4
UNIPROT,11,1,667.050,5
UNIPROT,11,2000,752.980,1
UNIPROT,11,2000,799.721,2
UNIPROT,11,2000,749.190,3
UNIPROT,11,2000,742.706,4
UNIPROT,11,2000,741.676,5
UNIPROT,11,4000,793.496,1
UNIPROT,11,4000,871.902,2
UNIPROT,11,4000,802.714,3
UNIPROT,11,4000,814.240,4
UNIPROT,11,4000,808.326,5
UNIPROT,11,6000,916.380,1
UNIPROT,11,6000,875.860,2
UNIPROT,11,6000,864.596,3
UNIPROT,11,6000,859.808,4
UNIPROT,11,6000,868.889,5
UNIPROT,11,8000,1009.458,1
UNIPROT,11,8000,935.185,2
UNIPROT,11,8000,938.071,3
UNIPROT,11,8000,931.415,4
UNIPROT,11,8000,943.735,5
UNIPROT,11,10000,1003.511,1
UNIPROT,11,10000,1091.264,2
UNIPROT,11,10000,1010.248,3
UNIPROT,11,10000,1068.882,4
UNIPROT,11,10000,1048.605,5
UNIPROT,11,12000,1059.516,1
UNIPROT,11,12000,1063.241,2
UNIPROT,11,12000,1166.687,3
UNIPROT,11,12000,1068.985,4
UNIPROT,11,12000,1061.631,5
UNIPROT,11,14000,1176.659,1
UNIPROT,11,14000,1144.677,2
UNIPROT,11,14000,1142.627,3
UNIPROT,11,14000,1135.931,4
UNIPROT,11,14000,1198.325,5
UNIPROT,11,16000,1196.037,1
UNIPROT,11,16000,1202.930,2
UNIPROT,11,16000,1284.427,3
UNIPROT,11,16000,1199.300,4
UNIPROT,11,16000,1214.939,5
UNIPROT,11,18000,1343.013,1
UNIPROT,11,18000,1260.412,2
UNIPROT,11,18000,1268.139,3
UNIPROT,11,18000,1261.133,4
UNIPROT,11,18000,1322.807,5
UNIPROT,11,20000,1330.130,1
UNIPROT,11,20000,1333.808,2
UNIPROT,11,20000,1377.855,3
UNIPROT,11,20000,1330.967,4
UNIPROT,11,20000,1342.979,5
UNIPROT,12,1,660.318,1
UNIPROT,12,1,697.605,2
UNIPROT,12,1,725.753,3
UNIPROT,12,1,665.143,4
UNIPROT,12,1,668.839,5
UNIPROT,12,2000,753.811,1
UNIPROT,12,2000,740.983,2
UNIPROT,12,2000,751.718,3
UNIPROT,12,2000,830.773,4
UNIPROT,12,2000,739.577,5
UNIPROT,12,4000,804.795,1
UNIPROT,12,4000,806.730,2
UNIPROT,12,4000,804.491,3
UNIPROT,12,4000,856.403,4
UNIPROT,12,4000,798.878,5
UNIPROT,12,6000,866.627,1
UNIPROT,12,6000,862.882,2
UNIPROT,12,6000,858.183,3
UNIPROT,12,6000,924.121,4
UNIPROT,12,6000,864.983,5
UNIPROT,12,8000,928.022,1
UNIPROT,12,8000,919.591,2
UNIPROT,12,8000,1008.173,3
UNIPROT,12,8000,924.936,4
UNIPROT,12,8000,929.894,5
UNIPROT,12,10000,993.316,1
UNIPROT,12,10000,1056.927,2
UNIPROT,12,10000,974.360,3
UNIPROT,12,10000,990.740,4
UNIPROT,12,10000,986.463,5
UNIPROT,12,12000,1040.985,1
UNIPROT,12,12000,1039.049,2
UNIPROT,12,12000,1043.121,3
UNIPROT,12,12000,1053.310,4
UNIPROT,12,12000,1091.514,5
UNIPROT,12,14000,1128.184,1
UNIPROT,12,14000,1121.190,2
UNIPROT,12,14000,1188.724,3
UNIPROT,12,14000,1115.616,4
UNIPROT,12,14000,1111.635,5
UNIPROT,12,16000,1197.793,1
UNIPROT,12,16000,1282.374,2
UNIPROT,12,16000,1190.375,3
UNIPROT,12,16000,1210.809,4
UNIPROT,12,16000,1201.662,5
UNIPROT,12,18000,1270.184,1
UNIPROT,12,18000,1270.766,2
UNIPROT,12,18000,1262.960,3
UNIPROT,12,18000,1355.576,4
UNIPROT,12,18000,1267.496,5
UNIPROT,12,20000,1403.493,1
UNIPROT,12,20000,1335.780,2
UNIPROT,12,20000,1330.007,3
UNIPROT,12,20000,1340.326,4
UNIPROT,12,20000,1370.789,5
UNIPROT,13,1,662.546,1
UNIPROT,13,1,661.814,2
UNIPROT,13,1,662.633,3
UNIPROT,13,1,665.640,4
UNIPROT,13,1,664.073,5
UNIPROT,13,2000,810.683,1
UNIPROT,13,2000,761.762,2
UNIPROT,13,2000,736.928,3
UNIPROT,13,2000,749.099,4
UNIPROT,13,2000,753.045,5
UNIPROT,13,4000,885.934,1
UNIPROT,13,4000,814.952,2
UNIPROT,13,4000,814.960,3
UNIPROT,13,4000,816.843,4
UNIPROT,13,4000,813.501,5
UNIPROT,13,6000,873.514,1
UNIPROT,13,6000,877.146,2
UNIPROT,13,6000,882.762,3
UNIPROT,13,6000,885.512,4
UNIPROT,13,6000,975.468,5
UNIPROT,13,8000,944.473,1
UNIPROT,13,8000,939.668,2
UNIPROT,13,8000,941.616,3
UNIPROT,13,8000,950.138,4
UNIPROT,13,8000,1031.720,5
UNIPROT,13,10000,1004.901,1
UNIPROT,13,10000,1015.313,2
UNIPROT,13,10000,1080.795,3
UNIPROT,13,10000,1112.754,4
UNIPROT,13,10000,1013.724,5
UNIPROT,13,12000,1077.186,1
UNIPROT,13,12000,1119.516,2
UNIPROT,13,12000,1072.988,3
UNIPROT,13,12000,1065.731,4
UNIPROT,13,12000,1076.325,5
UNIPROT,13,14000,1214.823,1
UNIPROT,13,14000,1126.425,2
UNIPROT,13,14000,1129.245,3
UNIPROT,13,14000,1150.403,4
