"""protein""","""reactionCount""","""pathwayCount"""
"""Q15835""",2,7
"""Q16695""",8,9
"""Q8N163""",3,4
"""P0C0L5""",18,6
"""P31749""",56,81
"""P19174""",44,61
"""Q15418""",6,45
"""P01024""",10,12
"""P02679""",1,4
"""Q9UNA0""",2,4
"""P31152""",3,3
"""Q04206""",5,7
"""Q9ULH0""",4,7
"""P17252""",10,20
"""P36957""",3,8
"""O15111""",13,49
"""P04181""",2,3
"""P49327""",4,7
"""P07992""",1,4
"""P00742""",10,11
"""P18440""",2,4
"""O15516""",16,2
"""Q5FYB1""",1,8
"""O94905""",11,6
"""Q9Y4K3""",24,43
"""P16455""",1,3
"""P99999""",1,3
"""P40259""",7,5
"""Q6P3S1""",3,4
"""Q8WXI7""",14,9
"""O43353""",6,33
"""P00367""",2,3
"""Q9BVI0""",2,6
"""A6ND01""",1,3
"""P04637""",101,62
"""Q01831""",10,10
"""Q13637""",2,7
"""Q15907""",1,3
"""O95084""",1,4
"""Q9NPD8""",2,6
"""P0CG48""",17,13
"""P04049""",39,26
"""P56524""",2,5
"""P43405""",42,28
"""Q9Y6N7""",2,5
"""Q6PCB0""",1,4
"""Q9NRP2""",1,2
"""Q9Y5J6""",1,2
"""Q9H0Y0""",4,2
"""P14314""",1,4
"""P62753""",1,3
"""P32121""",1,4
"""P51888""",7,5
"""Q14191""",1,5
"""P01210""",1,4
"""Q685J3""",14,9
"""Q13043""",6,2
"""Q9UNQ0""",2,5
"""Q15022""",1,5
"""Q969M7""",4,3
"""Q8WYQ3""",1,2
"""P02652""",1,4
"""O15488""",12,5
"""P18827""",30,21
"""P06241""",19,18
"""P07947""",3,9
"""O00468""",21,16
"""Q14194""",3,4
"""O96014""",10,6
"""P02751""",1,4
"""P17480""",4,6
"""Q96MT3""",1,5
"""Q5VWK5""",1,5
"""Q8N5S9""",1,6
"""P08100""",8,9
"""P29400""",13,9
"""Q5JTJ3""",1,2
"""Q13619""",2,3
"""P62318""",17,7
"""P40763""",22,32
"""Q5FYA8""",1,8
"""P25067""",12,5
"""P13639""",8,12
"""Q96S21""",1,3
"""P62491""",1,3
"""P63241""",3,4
"""Q12968""",2,11
"""Q9BU40""",1,4
"""Q92900""",1,3
"""Q9NRY4""",5,4
"""O75385""",9,6
"""Q96CW1""",15,4
"""P17936""",1,4
"""Q9Y243""",27,53
"""O95429""",11,6
"""O14640""",17,11
"""Q9BTY2""",1,4
"""Q9NS62""",2,4
"""Q8TAQ5""",1,6
"""O95633""",1,4
"""P56704""",15,7
"""Q9UPZ6""",2,4
"""P30291""",2,9
"""O14733""",3,29
"""P24593""",1,4
"""P98155""",1,4
"""P22692""",1,4
"""Q9BUD6""",2,4
"""Q06481""",1,4
"""P62807""",10,12
"""Q9Y5J9""",2,2
"""Q15349""",6,45
"""P20671""",14,11
"""P32004""",11,6
"""P14635""",3,5
"""P12110""",16,12
"""P51690""",1,8
"""Q14980""",3,6
"""P10515""",4,10
"""P16104""",36,15
"""P62714""",3,10
"""P50548""",2,4
"""Q12974""",2,3
"""Q9NP71""",8,5
"""P78552""",2,4
"""O43653""",1,3
"""Q8NFP4""",1,3
"""P14598""",3,9
"""Q13547""",1,5
"""Q5JRA6""",1,4
"""P78396""",1,4
"""Q9NQB0""",1,4
"""Q24JP5""",1,4
"""P31431""",28,21
"""P13942""",13,4
"""Q99640""",1,5
"""Q16644""",4,36
"""P19429""",1,3
"""Q9NUV7""",1,4
"""Q9NTJ3""",2,5
"""Q13217""",1,4
"""Q14623""",13,7
"""Q9UL26""",1,3
"""Q9Y2T1""",5,8
"""O60353""",2,4
"""Q93034""",2,3
"""P34741""",29,29
"""P04628""",13,7
"""Q16566""",2,23
"""P01009""",12,11
"""Q02880""",1,5
"""P25325""",3,4
"""Q13103""",1,4
"""P48448""",1,4
"""Q13421""",2,5
"""P28482""",48,111
"""Q8IW41""",13,13
"""Q13316""",1,4
"""Q9Y6H1""",1,2
"""P46937""",9,10
"""P13726""",7,3
"""Q96P48""",1,4
"""Q13415""",3,7
"""Q08379""",4,8
"""O00186""",1,4
"""Q03405""",8,6
"""Q16539""",16,63
"""O95714""",22,17
"""Q9H257""",1,4
"""P01275""",7,15
"""P14784""",13,16
"""Q9H461""",2,4
"""Q06187""",8,9
"""Q13508""",1,3
"""Q71DI3""",111,55
"""Q99996""",5,4
"""P50542""",8,5
"""Q99835""",6,4
"""Q9UBR2""",11,9
"""Q9H0U4""",5,12
"""P32927""",14,14
"""Q16665""",10,13
"""Q15004""",1,4
"""Q14956""",4,4
"""O43521""",10,15
"""O14757""",12,25
"""Q9Y6Q9""",3,3
"""Q9Y6F9""",3,3
"""Q92794""",1,6
"""Q9BYX4""",1,4
"""P22455""",43,33
"""P06400""",4,12
"""Q9BXW9""",5,2
"""Q9UQM7""",19,33
"""Q13795""",5,4
"""Q99502""",2,4
"""A2RUS2""",2,4
"""Q16659""",12,3
"""Q16518""",1,6
