"""protein""","""reactionCount"""
"""Q9Y6M9""",7
"""P58294""",4
"""Q92754""",15
"""Q58EX2""",1
"""A6NET4""",1
"""P30530""",4
"""P10276""",3
"""Q9NXH9""",1
"""Q05469""",8
"""Q9NX14""",7
"""P13224""",10
"""O15145""",14
"""Q9NQ48""",1
"""P51164""",1
"""Q96QE2""",1
"""P01817""",44
"""Q8TDN1""",1
"""Q6EMB2""",1
"""Q8TDX5""",1
"""Q8NHC6""",1
"""Q8TDM5""",1
"""O43189""",1
"""A6PVC2""",1
"""Q9BY49""",3
"""Q9NV58""",3
"""Q9BXS9""",1
"""P10645""",1
"""Q96AP0""",2
"""P11509""",9
"""A7KAX9""",1
"""P08590""",4
"""Q9BQ48""",10
"""P30419""",3
"""P0C604""",1
"""O00230""",4
"""Q969Z3""",1
"""O43699""",1
"""Q9UNU6""",4
"""P53803""",152
"""Q96PD7""",2
"""Q13464""",13
"""Q9H4M7""",1
"""Q86UN2""",1
"""Q16739""",1
"""P19224""",1
"""Q96H96""",4
"""P43268""",2
"""Q99467""",1
"""P63027""",44
"""Q16594""",28
"""Q7Z7F7""",10
"""P25098""",10
"""Q9ULB5""",2
"""Q7Z6P3""",4
"""Q8IWX8""",6
"""Q9UKV5""",3
"""Q7Z6Z7""",5
"""Q9H2E6""",1
"""Q99983""",7
"""Q9Y5Y6""",2
"""A6NIH7""",7
"""Q4VCS5""",4
"""Q96G23""",1
"""Q86Y07""",2
"""P16066""",1
"""Q8NFJ9""",4
"""Q13332""",5
"""P25092""",2
"""Q86U70""",3
"""P11388""",3
"""Q9HA82""",1
"""Q93086""",2
"""Q6ZMB0""",1
"""P50552""",4
"""Q96A08""",120
"""P08473""",3
"""Q8IU80""",10
"""Q9H981""",2
"""O95886""",4
"""P54687""",2
"""Q9H2P9""",1
"""Q9H1C0""",7
"""Q99965""",1
"""O95772""",1
"""Q9H1M4""",1
"""O76061""",1
"""Q86UE6""",1
"""P24928""",122
"""Q13155""",10
"""Q96LB4""",4
"""A6NNM8""",1
"""O75191""",1
"""P62847""",27
"""P25788""",4
"""O00623""",8
"""P08842""",2
"""Q5NV81""",35
"""Q7Z3Z4""",1
"""P46782""",27
"""Q5DT21""",1
"""O94927""",22
"""P15586""",7
"""Q8NAV1""",2
"""O15232""",2
"""P49916""",13
"""P49802""",3
"""Q9Y4A9""",1
"""Q8IXW5""",2
"""P78524""",2
"""P59796""",1
"""Q53T94""",14
"""P78410""",1
"""Q8NGR2""",1
"""P11586""",5
"""O60291""",3
"""Q8N2Z9""",23
"""Q765I0""",4
"""P15311""",8
"""O60285""",3
"""P13196""",1
"""Q8TBB1""",3
"""P57775""",10
"""Q96A35""",10
"""P13716""",4
"""Q96G91""",7
"""P60520""",7
"""Q5H8A4""",1
"""Q9BVG9""",1
"""P81274""",1
"""P43220""",5
"""Q6UWE0""",3
"""P62244""",27
"""Q6UX04""",2
"""Q9P267""",1
"""P15976""",10
"""O00206""",43
"""Q8WY64""",4
"""Q9H2M3""",1
"""P15289""",3
"""Q96DE0""",2
"""Q99102""",14
"""P37840""",6
"""P23284""",3
"""Q96N87""",1
"""P19784""",10
"""O95178""",7
"""Q14004""",2
"""Q96F86""",1
"""O00716""",8
"""Q9UJ71""",4
"""Q9UIV1""",2
"""Q6ZN57""",1
"""P52744""",1
"""Q05655""",19
"""P35579""",6
"""Q16270""",1
"""P28715""",10
"""Q9Y3Y2""",5
"""Q9UKT7""",11
"""Q9H0D6""",1
"""Q9H2C8""",1
"""P08134""",23
"""Q70Z44""",1
"""Q9Y2W2""",6
"""Q8WWT9""",1
"""Q99959""",3
"""Q7L2H7""",8
"""P20700""",5
"""Q8NH80""",1
"""A2NJV5""",43
"""Q8N668""",14
"""Q92643""",1
"""P10144""",1
"""P79483""",31
"""Q9NVZ3""",16
"""Q9Y2X7""",7
